('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         956122 function calls (931836 primitive calls) in 13.337 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4516    0.004    0.000    0.005    0.000 {built-in method builtins.max}
     7492    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
       16    0.004    0.000    0.009    0.001 enum.py:1708(convert_class)
      370    0.004    0.000    1.635    0.004 ssl.py:1237(recv_into)
      215    0.003    0.000    1.867    0.009 <frozen importlib._bootstrap>:1240(_find_spec)
     4099    0.003    0.000    0.005    0.000 __init__.py:1068(handle_data)
      804    0.003    0.000    0.004    0.000 _parser.py:372(_escape)
      122    0.003    0.000    0.007    0.000 _compiler.py:467(_get_charset_prefix)
        9    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
    13446    0.003    0.000    0.003    0.000 typing.py:2154(cast)
    218/3    0.003    0.000    4.245    1.415 <frozen importlib._bootstrap>:1349(_find_and_load)
       17    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
      259    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
     9241    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
        4    0.003    0.001    0.003    0.001 response.py:786(release_conn)
      721    0.003    0.000    0.009    0.000 filter.py:618(_attribute_match)
     8393    0.003    0.000    0.003    0.000 element.py:3090(descendants)
     4307    0.003    0.000    0.004    0.000 _parser.py:293(tell)
      330    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     6196    0.003    0.000    0.003    0.000 _parser.py:113(__init__)
    167/1    0.003    0.000   13.338   13.338 {built-in method builtins.exec}
     4289    0.003    0.000    0.003    0.000 __init__.py:290(can_be_empty_element)
      259    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      268    0.003    0.000    0.003    0.000 _compiler.py:386(_mk_bitmap)
     4580    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
      370    0.003    0.000    1.640    0.004 socket.py:693(readinto)
      259    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
       66    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      268    0.002    0.000    0.325    0.001 response.py:1364(read_chunked)
      902    0.002    0.000    0.004    0.000 _compiler.py:216(_compile_charset)
     1057    0.002    0.000    0.004    0.000 _parser.py:312(_class_escape)
     4289    0.002    0.000    0.003    0.000 __init__.py:636(set_up_substitutions)
       17    0.002    0.000    0.006    0.000 __init__.py:355(namedtuple)
     3823    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
      341    0.002    0.000    0.009    0.000 css_parser.py:1108(selector_iter)
     4149    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
      197    0.002    0.000    1.858    0.009 <frozen importlib._bootstrap_external>:1491(_get_spec)
      320    0.002    0.000    0.007    0.000 typing.py:175(_type_check)
      191    0.002    0.000    0.019    0.000 _compiler.py:511(_compile_info)
       53    0.002    0.000    0.006    0.000 <frozen abc>:105(__new__)
      943    0.002    0.000    0.003    0.000 _parser.py:449(_uniq)
     3710    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
      174    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      382    0.002    0.000    0.005    0.000 enum.py:1562(__and__)
     1363    0.002    0.000    0.003    0.000 _parser.py:172(__setitem__)
     4745    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     2926    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      897    0.002    0.000    0.004    0.000 typing.py:1188(__setattr__)
     4288    0.002    0.000    0.002    0.000 _markupbase.py:36(getpos)
      191    0.002    0.000    0.308    0.002 _compiler.py:740(compile)
      192    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      259    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
    56/16    0.002    0.000    0.034    0.002 css_parser.py:925(parse_selectors)
      165    0.002    0.000    1.152    0.007 <frozen importlib._bootstrap_external>:1183(get_data)
     1389    0.002    0.000    0.004    0.000 filter.py:629(_match_attribute_value_helper)
     4059    0.002    0.000    0.002    0.000 parser.py:128(clear_cdata_mode)
     2332    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
    192/3    0.002    0.000    4.157    1.386 <frozen importlib._bootstrap>:911(_load_unlocked)
      610    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      370    0.002    0.000    1.631    0.004 ssl.py:1095(read)
     1446    0.002    0.000    0.003    0.000 enum.py:1544(_get_value)
     2830    0.001    0.000    0.002    0.000 filter.py:292(matches_string)
      141    0.001    0.000    0.008    0.000 typing.py:1242(__init__)
     2585    0.001    0.000    0.005    0.000 css_parser.py:317(match)
      330    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     3551    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
       21    0.001    0.000    8.418    0.401 __init__.py:1(<module>)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
       10    0.001    0.000    0.009    0.001 enum.py:919(_convert_)
      269    0.001    0.000    0.064    0.000 response.py:619(_decode)
      858    0.001    0.000    2.314    0.003 <frozen importlib._bootstrap_external>:140(_path_stat)
     1008    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      191    0.001    0.000    0.194    0.001 _parser.py:969(parse)
    442/6    0.001    0.000    4.083    0.680 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1448    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       79    0.001    0.000    0.011    0.000 css_parser.py:472(parse_attribute_selector)
       62    0.001    0.000    0.002    0.000 parse.py:374(urlparse)
      975    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
     1746    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
    165/3    0.001    0.000    4.157    1.386 <frozen importlib._bootstrap_external>:989(exec_module)
     3359    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
     1005    0.001    0.000    0.003    0.000 _compiler.py:398(_simple)
      174    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     1243    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      165    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      495    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      370    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
  192/188    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        3    0.001    0.000    0.002    0.001 cookiejar.py:466(parse_ns_headers)
      501    0.001    0.000    0.002    0.000 enum.py:726(__call__)
      259    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     4307    0.001    0.000    0.001    0.000 element.py:2414(__bool__)
      257    0.001    0.000    0.923    0.004 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        3    0.001    0.000    0.001    0.000 copy.py:247(_reconstruct)
      359    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      174    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      162    0.001    0.000    0.007    0.000 _markupbase.py:165(parse_comment)
      215    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      191    0.001    0.000    0.110    0.001 _compiler.py:573(_code)
        1    0.001    0.001    0.001    0.001 ssl.py:1309(_real_close)
        2    0.001    0.000    0.002    0.001 feedparser.py:469(_parse_headers)
      191    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       64    0.001    0.000    0.008    0.000 typing.py:687(Union)
      491    0.001    0.000    0.174    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
  166/163    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      142    0.001    0.000    0.001    0.000 css_parser.py:369(__init__)
      412    0.001    0.000    0.001    0.000 _parser.py:265(getwhile)
        9    0.001    0.000    0.002    0.000 cookiejar.py:1015(set_ok_domain)
       75    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        8    0.001    0.000    0.001    0.000 {method 'write' of '_io.StringIO' objects}
     1492    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.001    0.001    9.088    9.088 financial.py:11(information)
      370    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      745    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
  213/177    0.001    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
  772/706    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
        4    0.001    0.000    0.001    0.000 parse.py:469(urlsplit)
       53    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
  142/137    0.001    0.000    0.006    0.000 css_parser.py:395(freeze)
      270    0.001    0.000    0.327    0.001 response.py:1227(stream)
       23    0.001    0.000    0.005    0.000 enum.py:528(__new__)
      501    0.001    0.000    0.002    0.000 enum.py:1129(__new__)
       87    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
     1084    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        1    0.001    0.001    0.246    0.246 packages.py:1(<module>)
       28    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
      165    0.001    0.000    0.611    0.004 <frozen importlib._bootstrap_external>:1202(path_stats)
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
     1754    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
     1084    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      165    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        6    0.001    0.000    0.006    0.001 typing.py:2780(__new__)
      215    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
       72    0.001    0.000    1.390    0.019 {method 'readline' of '_io.BufferedReader' objects}
      424    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      814    0.001    0.000    0.001    0.000 element.py:2355(get)
      270    0.001    0.000    0.327    0.001 models.py:816(generate)
      741    0.001    0.000    0.001    0.000 _parser.py:83(groups)
      217    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:416(__enter__)
      162    0.001    0.000    0.005    0.000 _htmlparser.py:269(handle_comment)
       24    0.001    0.000    0.001    0.000 util.py:16(lower)
        2    0.001    0.000    0.006    0.003 parser.py:56(parsestr)
      660    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
     1676    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
       58    0.001    0.000    0.002    0.000 parser.py:124(set_cdata_mode)
       45    0.001    0.000    0.253    0.006 response.py:1342(_handle_chunk)
       68    0.001    0.000    0.253    0.004 client.py:633(_safe_read)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      372    0.000    0.000    0.000    0.000 socket.py:732(readable)
      100    0.000    0.000    0.002    0.000 enum.py:1551(__or__)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
