"id","created_at","name","has_test","alternate_url"
"126970916","2025-10-27T10:56:35+0300","Middle",false,"https://hh.ru/vacancy/126970916"
"127063385","2025-10-28T14:15:12+0300","Junior",false,"https://hh.ru/vacancy/127063385"
"127202494","2025-11-01T09:09:01+0300","-",false,"https://hh.ru/vacancy/127202494"
"127422968","2025-11-07T21:13:14+0300","-",false,"https://hh.ru/vacancy/127422968"
"127436082","2025-11-10T06:13:51+0300","-",false,"https://hh.ru/vacancy/127436082"
"127446104","2025-11-10T09:34:25+0300","Junior",false,"https://hh.ru/vacancy/127446104"
"127517962","2025-11-11T11:49:52+0300","-",false,"https://hh.ru/vacancy/127517962"
"127706118","2025-11-14T11:51:39+0300","Junior",false,"https://hh.ru/vacancy/127706118"
"127819012","2025-11-18T10:44:16+0300","Junior",false,"https://hh.ru/vacancy/127819012"
"127837717","2025-11-18T15:44:47+0300","-",false,"https://hh.ru/vacancy/127837717"
"127855846","2025-11-19T09:21:18+0300","-",false,"https://hh.ru/vacancy/127855846"
"127923814","2025-11-20T15:57:09+0300","-",false,"https://hh.ru/vacancy/127923814"
"127928417","2025-11-20T17:44:56+0300","-",false,"https://hh.ru/vacancy/127928417"
"127928908","2025-11-20T18:01:40+0300","-",false,"https://hh.ru/vacancy/127928908"
"127934606","2025-11-21T08:05:42+0300","-",false,"https://hh.ru/vacancy/127934606"
"127949831","2025-11-21T13:18:22+0300","Intern/Junior",false,"https://hh.ru/vacancy/127949831"
"127949893","2025-11-21T13:19:56+0300","-",false,"https://hh.ru/vacancy/127949893"
"127952822","2025-11-21T14:20:48+0300","Junior",false,"https://hh.ru/vacancy/127952822"
"127978736","2025-11-24T08:28:37+0300","Middle/Middle+",false,"https://hh.ru/vacancy/127978736"
"127979484","2025-11-24T08:47:12+0300","Middle",false,"https://hh.ru/vacancy/127979484"
